0,0,0,0,0
1000,35,0.35,104,0.35
1200,43,0.43,130,0.43
1400,54,0.54,161,0.54
1600,66,0.66,196,0.65
1800,83,0.83,240,0.8
2000,103,1.03,294,0.98
2100,114,1.14,325,1.08
2200,130,1.3,364,1.21
2300,147,1.47,404,1.35
2400,171,1.71,455,1.52
2500,198,1.98,510,1.7
2600,233,2.33,577,1.92
2700,282,2.82,648,2.16
2800,352,3.52,733,2.44
2900,454,4.54,811,2.7
3000,593,5.93,881,2.94
3100,746,7.46,927,3.09
3125,788,7.88,937,3.12
3150,801,8.01,941,3.13
3175,802,8.02,943,3.14
3200,792,7.92,944,3.15
3225,770,7.7,940,3.13
3250,746,7.46,937,3.12
3300,682,6.82,922,3.07
3400,547,5.47,879,2.93
3500,447,4.47,823,2.74
3600,370,3.7,762,2.54
3700,315,3.15,703,2.34
3800,274,2.74,647,2.16
3900,243,2.43,600,2
4000,219,2.19,556,1.85
4200,182,1.82,485,1.62
4400,156,1.56,426,1.42
4600,137,1.37,383,1.28
4800,123,1.23,347,1.16
5000,112,1.12,319,1.06
5200,103,1.03,295,0.98
5400,95,0.95,274,0.91
5600,88,0.88,256,0.85
5800,83,0.83,241,0.8
